Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,pro bowl?
Tyrone Carter,SS,68,190,4.5,41,16,121,6.75,4.19,0
Kwame Cavil,WR,74,208,4.54,39.5,,118,,,0
Chris Chaloupka,QB,74,216,4.96,,,,,,0
Doug Chapman,RB,70,215,4.56,38.5,16,128,6.84,4.2,0
Ike Charlton,CB,71,205,4.47,,16,126,,,0
Chrys Chukwuma,RB,73,232,4.56,,,115,,,0
Joey Chustz,OT,79,304,5.08,31,28,103,7.65,4.65,0
Pedro Cirino,FS,71,197,4.59,,,,,,0
John Saint Clair,C,77,302,5.2,,25,,,,0
Kendrick Clancy,DT,73,283,5.25,27.5,25,108,7.98,4.65,0
Travis Claridge,OG,77,303,5.15,31.5,29,100,7.77,4.86,0
Danny Clark,ILB,74,245,4.75,,20,,,,0
Chad Clifton,OT,77,334,5.05,30.5,24,102,7.58,4.73,1
Chris Cole,WR,72,191,4.37,37.5,,125,6.76,4.09,0
Cosey Coleman,OG,76,322,5.4,28,,101,8.15,4.97,0
Chris Coleman,WR,72,211,4.61,32.5,,110,6.79,4.1,0
Laveranues Coles,WR,71,192,4.41,34,,115,6.89,4.39,1
Chris Combs,DT,77,286,5.16,,22,,,,0
Kurth Connell,OT,76,291,5.49,33,27,103,8.14,4.84,0
Rameel Connor,DE,75,276,5,35.5,25,121,7.65,4.45,0
D.J. Cooper,DT,75,277,5.22,28,,108,7.41,4.49,0
Ashley Cooper,SS,70,208,4.67,,16,117,,,0
Renard Cox,CB,71,192,4.68,38,13,111,7.1,,0
Casey Crawford,TE,78,244,4.83,,18,,,,0
Sedrick Curry,CB,73,197,4.44,39,,125,6.34,3.94,0
Chris Daniels,WR,75,217,4.74,33,,115,7.2,4.24,0
Brandon Daniels,WR,70,211,4.54,,,,,,0
Joe Dean Davenport,TE,79,268,5.06,30,13,108,7.33,4.67,0
Darren Davis,RB,68,189,4.81,32,13,109,7.04,4.47,0
Adam Davis,OG,76,309,5.66,26,,92,8.51,5,0
JaJuan Dawson,WR,73,199,4.55,34,,117,6.96,4.16,0
Ron Dayne,RB,71,259,4.65,,,,,,0
Jerry DeLoach,DT,75,314,4.99,31.5,19,101,7.4,4.57,0
Mike Derouselle,DT,74,314,5.28,27.5,27,96,7.67,4.8,0
Na'il Diggs,OLB,76,231,4.66,,,,,,0
Reuben Droughns,RB,71,215,4.66,30,13,115,7.34,4.41,0
Ron Dugans,WR,73,206,4.58,,,117,,,0
Deon Dyer,FB,71,260,4.99,28,,104,7.88,4.81,0
Mario Edwards,CB,72,191,4.46,,,120,,,0
Chris Edwards,OLB,77,226,4.65,,,,,,0
Shaun Ellis,DE,76,280,4.85,,,,,,1
John Engelberger,DE,76,260,4.73,34,24,115,6.95,4.28,0
Dwan Epps,ILB,73,242,4.68,34.5,8,,,,0
Matt Farmer,WR,72,190,4.51,33,,108,6.63,3.94,0
Danny Farmer,WR,75,217,4.58,,,,,,0
Kevin Feterik,QB,71,207,4.92,31,,106,7.3,4.45,0
Chafie Fields,WR,73,196,4.43,,,,,,0
Aaron Fields,DE,76,243,4.76,34,22,115,7.51,4.56,0
Zeron Flemister,TE,76,249,4.72,37,14,116,6.92,4.16,0
Erik Flowers,DE,76,271,4.75,33,24,114,7.21,4.15,0
Larry Foster,WR,70,198,4.55,37,,121,6.88,4.06,0
Derrick Foster,RB,71,201,4.43,34.5,19,117,6.84,4.36,0
John Frank,DE,76,280,4.78,37,32,117,7.07,4.27,0
Bubba Franks,TE,78,265,4.85,,,,,,1
Todd Franz,FS,73,199,4.55,,14,,,,0
Arturo Freeman,FS,72,188,4.5,35.5,14,124,6.91,4.38,0
Byron Frisch,DE,76,281,4.73,34.5,31,114,7.2,4.41,0
Mondriel Fulcher,FB,75,253,4.85,27,18,116,7.46,4.52,0
Trent Gamble,FS,69,186,4.56,37,21,124,6.6,3.9,0
Jason Gavadza,TE,75,249,4.62,32.5,22,113,7.15,4.3,0
Trevor Gaylor,WR,75,199,4.56,37.5,,121,7.03,4.29,0
Kabeer Gbaja-Biamila,OLB,76,243,4.65,34,21,120,6.9,4.28,1
Sherrod Gideon,WR,71,173,4.66,,,,,,0
Ian Gold,OLB,73,221,4.56,33,21,115,6.97,4.19,1
Dwayne Goodrich,CB,71,195,4.45,,,,,,0
Lamar Grant,CB,71,188,4.62,32,16,117,7.3,4.3,0
Ernest Grant,DT,77,316,5.31,29.5,24,98,8,5.03,0
Deon Grant,SS,74,209,4.5,,15,,,,0
Jonathan Gray,OT,76,338,5.85,23,20,94,,,0
Brian Gray,CB,73,214,4.94,33.5,19,116,7.38,4.24,0
Mike Green-01,FS,72,189,4.53,38.5,,118,,4.2,0
Mike Green-02,FB,72,253,4.78,28.5,25,108,7.08,4.34,0
Barrett Green,OLB,72,233,4.56,36,22,120,,,0
Damian Gregory,DT,74,307,4.87,30,27,105,7.37,4.6,0
Cornelius Griffin,DE,75,297,4.9,31,30,111,7.63,4.62,0
Clark Haggans,OLB,75,253,4.97,31.5,20,109,7.12,4.21,0
Ricky Hall,WR,74,206,4.52,,,,,,0
James Hall,DE,74,271,5.03,32,,111,7.86,4.51,0
Dante' Hall,RB,68,191,4.44,38,18,123,6.62,3.82,0
Troy Hambrick,RB,72,237,4.66,34.5,21,118,7.48,4.44,0
Joe Hamilton,QB,70,192,4.81,,,106,,,0
Joey Hamilton,WR,73,201,4.54,36,,116,7.57,4.41,0
Thomas Hamner,RB,72,197,4.5,32,17,125,6.97,4.07,0
D'Andre Hardeman,FB,70,238,4.81,30,,109,7.27,4.36,0
Jeff Harris,CB,72,190,4.53,34.5,,114,6.73,4.25,0
Antwan Harris,CB,69,186,4.34,39,16,121,6.75,4.01,0
Lloyd Harrison,CB,70,190,4.5,37.5,16,119,7.12,4.25,0
Windrell Hayes,WR,71,204,4.5,,,,7.33,4.18,0
Semisi Heimuli,OG,73,312,5.4,29,20,94,7.94,4.63,0
Steve Herndon,OG,76,297,5.23,,,,,,0
Leroy Hodge,WR,73,215,4.54,34.5,,116,7.14,4.21,0
Deone Horinek,P,74,234,,,,,,,0
Chris Hovan,DT,74,305,4.99,30,35,101,6.85,4.16,0
Reggie Howard,CB,71,190,4.55,,,,,,0
Darren Howard,DE,76,281,5.09,29,,108,7,4.32,0
Ethan Howell,CB,71,186,4.56,,16,,6.98,4.13,0
Aaron Humphrey,DE,75,254,5.1,34,21,119,,,0
Todd Husak,QB,75,216,5.2,27.5,,99,7.17,4.41,0
Trevor Insley,WR,72,192,4.7,,,,,,0
Junior Ioane,DT,75,324,5.12,,,,,,0
Jabari Issa,DT,77,296,5.05,31.5,19,105,7.69,4.72,0
Marlion Jackson,RB,73,242,4.6,35.5,24,125,7.15,4.14,0
Keith Jackson-01,DT,76,319,5.2,,28,,,,0
Jarious Jackson,QB,72,226,4.68,,,109,,,0
Darrell Jackson,WR,72,197,4.56,,,,,,0
Al Jackson,OG,75,304,5.2,,19,,,,0
Jeno James,OG,75,320,5.62,25.5,24,94,8.51,5.22,0
Sebastian Janikowski,K,73,260,,,,,,,1
Ronney Jenkins,RB,70,184,4.5,,18,118,,,0
Brandon Jennings,FS,72,198,4.51,38,16,123,6.91,4.14,0
Ryan Johanningmeier,OG,78,310,5.25,29,,107,7.9,4.66,0
Matt Johnson,OG,76,345,5.56,28,35,99,8.07,4.99,0
Jerry Johnson,DT,72,293,5.03,28.5,26,102,,,0
Eric Johnson,SS,72,215,4.6,38,12,121,6.96,4.17,0
Dwight Johnson,DT,76,285,4.97,28,26,105,7.51,4.76,0
Doug Johnson,QB,74,226,4.95,29.5,,96,,,0
Thomas Jones,RB,70,216,4.45,,,,,,1
John Jones,TE,76,248,4.63,38.5,13,125,7.33,4.43,0
Fred Jones,OLB,74,247,4.95,32,17,113,7.27,4.39,0
Dwaune Jones,WR,72,191,4.66,,,,,,0
Dhani Jones,OLB,73,240,4.68,,29,,,,0
Leander Jordan,OG,76,330,5.46,31,25,104,7.91,4.76,0
Morgan Kane,RB,73,221,4.62,37.5,29,121,6.81,4.16,0
Curtis Keaton,RB,70,214,4.41,41.5,23,131,6.82,3.93,0
Tinker Keck,SS,73,200,4.55,36.5,15,120,6.96,4.31,0
Matt Keller,FB,71,235,4.74,,,,,,0
Ben Kelly,CB,69,183,4.53,36,17,116,6.63,3.95,0
Dan Kendra,FB,72,251,4.84,35,24,119,,,0
Kenoy Kennedy,FS,73,221,4.71,33.5,8,113,7.08,4.38,0
Sean Key,FS,71,188,4.65,,,,7.12,4.2,0
Jimmy Kibble,P,70,195,,,,,,,0
Erron Kinney,TE,78,272,4.9,,,,,,0
Adrian Klemm,OT,76,307,4.98,,24,,,,0
Andrew Kline,OG,74,305,5.43,28,26,103,7.54,4.6,0
Marcus Knight,WR,73,180,4.72,28.5,,106,7.11,4.38,0
Noel LaMontagne,OG,76,299,5.09,,21,,,,0
Kareem Larrimore,CB,71,190,4.42,34,,125,,,0
Leif Larsen,DT,76,300,5.08,30,45,110,7.46,4.37,0
Shane Lechler,P,74,234,,,,,,,1
Charles Lee,WR,73,202,4.56,35.5,,125,7.3,4.25,0
Tim Lester,QB,72,202,5.02,27,,97,7.28,4.24,0
Jamal Lewis,RB,72,240,4.58,,23,,,,1
Anthony Lucas,WR,75,194,4.53,35,,121,,,0
Al Lucas,DT,73,294,5,36,28,108,7.44,4.56,0
Alton Lusk,WR,74,182,4.61,36.5,,122,7.16,4.26,0
Dustin Lyman,ILB,76,259,4.7,35,22,118,6.86,4.06,0
David Macklin,CB,69,194,4.54,37.5,,120,6.9,4.09,0
Anthony Malbrough,CB,69,184,4.44,35.5,20,117,6.73,4,0
Tee Martin,QB,74,227,4.58,34.5,,113,,,0
Terrence McCaskey,TE,77,271,5,29,,101,,,0
Kevin McDougal,RB,71,206,4.63,32,,108,7.08,4.12,0
Stockar McDougle,OT,77,361,5.5,,24,,,,0
Damion McIntosh,OT,76,328,5.31,26,23,97,7.72,4.71,0
Chris McIntosh,OT,78,315,5.39,,28,,,,0
Alvin McKinley,DT,76,289,5.09,27.5,22,102,7.73,4.61,0
Rondell Mealey,RB,72,212,4.69,33,,120,6.89,4.15,0
Brad Meester,C,75,298,5.12,34,25,110,7.46,4.43,0
Rob Meier,DE,77,284,4.99,30.5,27,113,7.49,4.52,0
Richard Mercier,OG,75,295,5.39,26,18,97,7.84,4.78,0
Keith Miller,ILB,73,246,4.97,27.5,24,110,7.37,4.43,0
Wendell Montgomery,WR,75,203,4.81,35.5,,117,7.01,4.24,0
Scottie Montgomery,WR,72,196,4.57,36,,117,7.16,4.11,0
Muneer Moore,WR,73,201,4.52,37.5,,129,6.91,4.09,0
Mookie Moore,OG,75,320,5.45,24.5,34,94,8.37,5.06,0
Corey Moore,OLB,71,223,4.6,,21,,,,0
Frank Moreau,RB,73,231,4.57,36,23,117,,,0
Sylvester Morris,WR,75,216,4.6,34.5,,119,7.06,4.17,0
Sammy Morris,FB,72,221,4.65,37.5,23,117,7.05,4.21,0
Rob Morris,ILB,74,250,4.77,33,18,113,6.93,4.17,0
Aric Morris,SS,69,211,4.56,,24,,,,0
Chad Morton,RB,68,182,4.5,36,18,121,,,0
Leon Murray,QB,74,207,4.75,,,,,,0
Bobby Myers,FS,73,183,4.56,37.5,,123,7.04,4.1,0
Kaulana Noa,OT,76,317,5.34,25.5,27,98,7.82,4.74,0
Dennis Northcutt,WR,70,175,4.43,37.5,,123,6.96,4.04,0
Carlos Nuno,TE,76,263,5.03,28,23,106,,,0
Matt O'Neal,C,75,277,5.06,27.5,17,94,7.59,4.72,0
Deltha O'Neal,CB,71,193,4.6,,,,,,1
Andre O'Neal,ILB,73,235,4.72,34,16,114,7.3,4.24,0
Adewale Ogunleye,DE,76,253,,,,,,,1
Erik Olson,SS,73,208,4.63,35,17,115,6.81,4.21,0
Chad Pennington,QB,75,229,4.81,33.5,,111,7.12,4.16,0
Julian Peterson,OLB,77,231,4.68,,,,,,1
Cory Peterson,WR,74,195,4.75,32.5,,114,,,0
Mareno Philyaw,WR,74,205,4.66,39.5,,129,6.93,4.13,0
Todd Pinkston,WR,74,169,4.45,,,,,,0
Cedric Pittman,OLB,75,261,4.9,30.5,20,111,7.75,4.52,0
Ahmed Plummer,CB,71,191,4.43,,,,,,0
DaShon Polk,OLB,74,233,4.75,32,18,111,7.43,4.45,0
Jerry Porter,WR,74,221,4.48,,,,,,0
Hank Poteat,CB,70,197,4.57,37,16,126,6.66,4,0
Travis Prentice,RB,72,225,4.5,37,23,115,6.92,4.4,0
Greg Randall,OT,78,333,5.59,26,22,95,8.15,5.13,0
Tim Rattay,QB,72,215,4.91,25.5,,100,7.34,4.21,0
Chase Raynock,OT,78,308,5.5,25,22,94,8.33,5,0
Chris Redman,QB,75,222,5.37,26.5,,98,7.8,4.78,0
J.R. Redmond,RB,71,216,4.48,32.5,,121,,,0
Quinton Reese,DE,76,283,5.13,30,18,101,7.91,4.68,0
Tutan Reyes,OT,75,299,5.37,26.5,20,99,7.49,4.88,0
Rob Riti,C,74,293,5.19,29.5,17,106,,,0
Fred Robbins,DT,76,312,5.09,29.5,25,94,7.72,4.72,0
Roger Roesler,OG,77,314,5.31,29.5,25,101,8.31,4.76,0
Phillip Rogers,RB,73,232,4.68,37,19,124,7.21,4.31,0
Mark Roman,CB,71,188,4.55,,,,,,0
Blaine Saipaia,OG,75,321,5.35,,,,,,0
Chris Samuels,OT,77,325,5.08,,,,,,1
Lewis Sanders,CB,72,202,4.5,37,10,116,,,0
Ketric Sanford,RB,67,199,4.6,32,12,118,6.63,4.3,0
Sekou Sanyika,OLB,75,241,4.75,32.5,,111,7.33,4.38,0
Manuia Savea,OG,74,308,5.34,25,24,92,,,0
Gari Scott,WR,72,194,4.59,33.5,,119,,,0
Tony Scott,CB,70,193,4.5,34,11,116,7.45,4.24,0
Richard Seals,DT,74,316,5.13,28.5,24,102,7.78,4.6,0
Aaron Shea,FB,76,253,4.81,37.5,,114,6.72,4.3,0
Jacoby Shepherd,CB,73,195,4.53,35,5,120,,,0
Samson Sherrod,OLB,75,262,4.78,,,,,,0
Wes Shivers,OT,77,318,5.65,22.5,18,98,8.48,4.81,0
Brandon Short,ILB,75,252,4.72,,,,,,0
Kofi Shuck,WR,74,180,4.66,33,,119,7.18,4.1,0
Corey Simon,DT,74,297,4.83,,,,,,1
Mark Simoneau,OLB,72,237,4.6,36,24,117,7.08,4.09,0
Peter Sirmon,ILB,74,246,4.84,34.5,20,115,7.21,4.27,0
T.J. Slaughter,ILB,72,247,4.87,30,24,112,7.08,4.26,0
Dwyte Smiley,FS,73,198,4.57,35,13,115,7.18,4.29,0
Jamel Smith,ILB,72,245,5.18,29.5,,108,7.51,4.58,0
Keith Smith-01,RB,70,207,4.5,,,,,,0
Marvel Smith,OT,77,320,5.37,27.5,24,100,7.87,4.83,1
Paul Smith-01,FB,71,220,4.65,,25,,,,0
Robaire Smith,DE,76,275,4.88,,,,,,0
Terrelle Smith,FB,72,249,5,32.5,19,109,8.38,4.85,0
R. Jay Soward,WR,69,177,4.34,35,,124,,,0
Rashon Spikes,RB,70,204,4.78,33,13,113,7.18,4.47,0
Quinton Spotwood,WR,71,184,4.55,33.5,,123,,,0
Dave Stachelski,TE,75,250,4.78,38,24,115,6.84,4.14,0
Shyrone Stith,RB,67,204,4.6,35,13,111,7.14,4.14,0
Jay Tant,TE,75,255,4.75,,31,,,,0
Mark Tauscher,OG,75,318,5.37,27,22,90,7.91,4.84,0
Shannon Taylor,OLB,75,249,4.65,34.5,,115,,,0
Travis Taylor,WR,73,199,4.43,37,,118,7.15,,0
Adalius Thomas,DE,74,270,4.56,38.5,,120,,4.42,1
Jason Thomas,OG,75,300,5.22,29.5,23,100,7.99,,0
Michael Thompson,OT,76,305,5.28,26,16,104,7.99,4.73,0
Raynoch Thompson,OLB,75,220,4.65,,,,,,0
Travares Tillman,FS,73,194,4.6,37.5,15,123,6.95,4.29,0
Mao Tosi,DT,77,310,5.26,28.5,19,99,7.72,4.6,0
Mac Tuiaea,DT,78,296,5.09,29,25,99,7.82,4.72,0
Ryan Tujague,OG,77,297,5.16,27,21,96,8.18,4.95,0
Jeff Ulbrich,ILB,72,249,4.65,32,24,109,7.23,4.3,0
Brian Urlacher,OLB,76,258,4.59,34,27,122,6.94,4.18,1
Darrick Vaughn,CB,71,196,4.53,36.5,14,121,7.09,4.16,0
Andy Vincent,OG,76,306,5.2,28.5,14,108,7.54,4.42,0
Todd Wade,OT,80,326,5.22,27.5,29,101,7.68,4.68,0
Darwin Walker,DT,74,293,4.82,,,,,,0
Jeff Walker,P,70,218,,,,,,,0
Troy Walters,WR,66,171,4.55,32.5,,106,6.61,3.84,0
Steve Warren,DT,73,307,5.1,30.5,29,105,7.97,4.56,0
Peter Warrick,WR,71,194,4.58,,,,,,0
Jason Webster,CB,69,180,4.42,35.5,17,122,6.76,3.98,0
James Whalen,TE,74,228,4.78,31,,110,7.42,4.22,0
Austin Wheatley,TE,76,254,4.66,32.5,,121,6.97,4.18,0
Damen Wheeler,CB,69,179,4.51,35,11,115,7.21,4.27,0
Anthony White,RB,72,195,4.68,32.5,,118,7.05,4.24,0
Dez White,WR,73,218,4.62,37.5,,124,6.91,4.09,0
Jerard White,CB,73,213,4.61,38.5,14,118,6.96,4.53,0
Michael Wiley,RB,71,193,4.5,,,,,,0
Bobbie Williams,OT,76,332,5.26,29,28,97,7.78,4.72,0
Boo Williams-01,RB,71,222,4.52,,,,,,0
Jack Williams-01,SS,70,206,4.72,31.5,15,108,7.15,4.65,0
James Williams - WR,WR,71,180,4.59,36,,123,7.22,4.16,0
Josh Williams,DT,75,282,4.9,30.5,,111,7.22,4.25,0
Antonio Wilson,OLB,74,245,4.56,,11,,,,0
Cedric Woodard,DT,74,290,5.21,30.5,23,109,,,0
Destry Wright,RB,71,216,4.84,29.5,15,112,7.15,4.41,0
Spergon Wynn,QB,75,229,4.91,34,,108,7.71,4.59,0
Bashir Yamini,WR,75,191,4.53,33,,130,7.09,4.18,0
Brian Young,DE,74,278,4.94,29.5,27,106,7.2,4.47,0
Keith Adams,OLB,71,219,4.82,,24,104,,,0
Hakim Akbar,FS,72,210,4.55,,,,,,0
Will Allen-01,CB,70,192,4.44,39.5,14,121,6.78,3.9,0
Matt Allen,P,75,246,,,,,,,0
David Allen,RB,69,194,4.62,31,15,111,,,0
Brian Allen-01,OLB,72,238,4.65,,25,,,,0
Scotty Anderson,WR,74,184,4.57,34.5,,115,,,0
Adam Archuleta,SS,72,211,4.46,,31,,,,0
Tom Ashworth,OG,78,293,5.11,33.5,20,109,7.4,4.3,0
Billy Baber,TE,76,255,4.76,33,22,106,7.12,4.19,0
Jeff Backus,OT,77,310,5.37,27,25,99,8.27,4.67,0
Rodney Bailey,DE,75,283,5.1,,,,,,0
Jason Baker,P,73,198,,,,,,,0
Alex Bannister,WR,77,201,4.47,30.5,,110,,,1
Kevan Barlow,RB,73,235,4.56,,,,,,0
Idrees Bashir,FS,74,206,4.56,40,22,126,7.14,4.2,0
Gary Baxter,CB,74,204,4.53,37.5,,122,7.39,4.21,0
Jonathan Beasley,QB,72,227,4.85,29.5,,102,7.55,4.38,0
Monty Beisel,DE,76,270,4.83,34.5,25,110,7.32,4.28,0
Marcus Bell-02,DT,73,319,5.32,,17,98,8.07,4.71,0
Kendrell Bell,ILB,73,234,4.64,38.5,24,124,7.25,4.5,1
Michael Bennett-01,RB,69,207,4.38,39.5,13,130,,,1
Eddie Berlin,WR,71,191,4.43,39.5,,122,6.78,4.08,0
Cory Bird,SS,70,217,4.6,,22,,,,0
Darvell Bivens,FB,70,255,4.97,33.5,32,108,7.81,4.38,0
Randy Black,SS,72,205,4.74,35.5,,115,7.14,4.2,0
Harold Blackmon,CB,71,210,4.54,37,17,121,7.03,4.28,0
Willie Blade,DT,75,316,4.93,,,,,,0
Al Blades,SS,73,209,4.56,,,,,,0
Derrick Blaylock,RB,70,194,4.36,35.5,18,119,7.05,4.09,0
David Bobo,OG,76,290,5.28,31,19,106,7.81,4.89,0
Fred Booker,CB,69,193,4.65,,,,,,0
Josh Booty,QB,74,221,4.9,29.5,,105,7.54,4.48,0
Jarvis Borum,OG,79,332,5.05,30.5,25,107,8.08,4.83,0
Kyle Vanden Bosch,DE,76,270,4.75,36.5,26,119,6.82,4.08,1
James Boyd,SS,71,207,4.59,32.5,,117,7.29,4.24,0
Roylin Bradley,OLB,73,243,4.67,34,19,116,7.16,4.28,0
Drew Brees,QB,72,213,4.83,32,,105,7.09,4.21,1
Sean Brewer,TE,76,255,4.73,36,14,117,7.37,4.18,0
Corey Brown-01,WR,72,202,4.63,39.5,,126,,,0
Chris Brown-01,OT,77,329,5.33,,30,,,,0
Kenny Bryant,CB,71,190,4.65,37.5,10,117,7.5,4.15,0
Correll Buckhalter,RB,72,226,4.53,40,11,123,7.08,4.06,0
Derrick Burgess,DE,74,264,4.92,40,24,125,7.85,,1
Adrian Burnette,WR,70,191,4.63,,,,,,0
Jerametrius Butler,CB,70,173,4.57,36,11,121,7.22,4.4,0
Cecil Caldwell,DT,73,268,4.93,,,,,,0
John Capel,WR,71,177,4.39,36.5,,126,,,0
Terrence Carroll,SS,72,212,4.63,,,,,,0
Elliott Carson,TE,76,246,4.9,36,16,115,7.52,4.21,0
Robert Carswell,FS,72,214,4.59,34,21,106,7.14,4.18,0
Quincy Carter,QB,74,225,4.58,35.5,,113,7.12,4.12,0
Andre Carter,DE,76,249,4.84,38.5,20,132,,4.24,1
Quinton Caver,ILB,76,227,4.67,37.5,23,118,7.66,4.25,0
Derrick Chambers,DT,76,299,4.98,,32,,,,0
Chris Chambers,WR,72,210,4.33,45,,134,,4,1
Jeff Chaney,RB,71,193,4.46,,,,,,0
Jeff Chase,OG,75,303,5.25,,27,,,,0
Patrick Chukwurah,OLB,74,238,4.77,40,24,119,7.34,4.21,0
Kenny Clark-01,WR,73,225,4.59,35.5,,121,,,0
Nate Clements,CB,71,209,4.38,,,,,,1
Tay Cody,CB,69,181,4.55,,11,,,,0
Justin Coleman-01,QB,76,238,5.22,29.5,,101,7.78,4.62,0
Derek Combs,RB,72,193,4.42,35,8,120,6.96,4.07,0
Jameel Cook,FB,70,226,4.8,29.5,17,108,7.55,4.38,0
Jarrod Cooper,SS,72,222,4.45,41.5,,130,6.87,3.9,0
Chris Cooper,DE,77,272,4.95,35.5,24,114,7.12,4.21,0
Dave Costa,OG,78,305,5.34,,17,,,,0
Rodney Crayton,CB,68,178,4.6,35.5,13,118,7.25,4.4,0
Rick Crowell,OLB,75,242,5.03,31.5,19,109,7.54,4.35,0
Corey Crume,RB,71,225,4.76,37,15,115,7.36,4.32,0
Alge Crumpler,TE,74,266,4.76,34,22,112,7.38,4.43,1
Will Cuthbert,OG,77,318,5.53,24.5,17,91,8.84,5.06,0
Ronney Daniels,WR,73,212,4.61,34.5,,118,,,0
Leonard Davis,OT,78,370,5.32,28,33,97,8.72,5.18,1
Ennis Davis,DT,76,302,5.1,27.5,23,99,7.98,4.87,0
Rick DeMulling,OG,76,307,5.24,31.5,32,108,7.62,4.6,0
Anthony Denman,ILB,73,239,4.76,,,,,,0
Ryan Diem,OT,79,338,5.13,34,,102,7.5,4.46,0
Tony Dixon,SS,73,213,4.63,37,17,117,7.38,,0
Jason Doering,FS,71,202,4.73,,,,7.07,4.12,0
Char-Ron Dorsey,OT,78,348,5.99,,16,,,,0
Eric Downing,DT,75,302,5.23,,27,,,,0
Shawn Draper,OG,75,303,5.3,32,17,106,8.1,4.77,0
Patrick Dyson,CB,71,192,4.55,31.5,,114,,,0
Andre Dyson,CB,70,179,4.4,,,119,,,0
Nijrell Eason,CB,73,201,4.59,34.5,19,119,,,0
Ron Edwards,DT,75,293,4.86,,,,,,0
Heath Evans,FB,72,246,4.56,34.5,30,111,7.3,4.24,0
Mario Fatafehi,DT,74,295,5.29,,,,,,0
Robert Ferguson,WR,73,205,4.48,36.5,,120,7.24,4.07,0
Bill Ferrario,OG,74,314,5.3,,17,,,,0
Dauntae' Finger,TE,76,262,5.09,33.5,15,103,7.95,4.59,0
Jamar Fletcher,CB,69,180,4.48,,,,,,0
Richmond Flowers,WR,71,195,4.55,35.5,,114,6.98,3.96,0
Kynan Forney,OG,74,312,5.28,27,23,97,8.56,4.7,0
Shawn Forte,FS,73,204,4.54,,20,,,,0
Curtis Fuller,FS,70,186,4.45,36,18,114,7.2,4.21,0
Setema Gali,DE,76,251,4.88,,,,,,0
Mike Gandy,OG,76,305,5.2,30.5,,103,8.03,4.71,0
Rod Gardner,WR,74,219,4.48,,,,,,0
Randy Garner,DE,76,277,4.77,,,,,,0
Roberto Garza,C,74,303,5,32.5,37,114,7.71,4.53,0
Reggie Germany,WR,73,183,4.39,,,,,,0
Derrick Gibson,SS,74,218,4.45,,17,,,,0
